ZIP,"Latitude","Longitude","Accuracy Score","Accuracy Type","Address Line 1","Address Line 2","Address Line 3","House Number","Street","Unit Type","Unit Number","City","State","County","Postal Code","Country","Source"
59007-0064,45.161913,-109.158349,1,place,,,"Bearcreek, MT 59007",,,,,Bearcreek,MT,"Carbon County",59007,US,"TIGER/Line® dataset from the US Census Bureau"
59019,45.657453,-109.206617,1,place,,,"Columbus, MT 59019",,,,,Columbus,MT,"Stillwater County",59019,US,"TIGER/Line® dataset from the US Census Bureau"
59041-9455,45.494126,-108.992234,1,place,,,"Joliet, MT 59041",,,,,Joliet,MT,"Carbon County",59041,US,"TIGER/Line® dataset from the US Census Bureau"
59044-9224,45.66912,-108.77153,1,place,,,"Laurel, MT 59044",,,,,Laurel,MT,"Yellowstone County",59044,US,"TIGER/Line® dataset from the US Census Bureau"
59044-9338,45.66912,-108.77153,1,place,,,"Laurel, MT 59044",,,,,Laurel,MT,"Yellowstone County",59044,US,"TIGER/Line® dataset from the US Census Bureau"
59047,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-0974,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-1295,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-1377,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-2501,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-2624,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-2634,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-3025,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-3433,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-3720,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-4101,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-8702,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
59047-9112,45.530664,-110.369054,1,place,,,"Livingston, MT 59047",,,,,Livingston,MT,"Park County",59047,US,"TIGER/Line® dataset from the US Census Bureau"
